mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_preprocessor__text__tvec__max_features,param_preprocessor__text__tvec__ngram_range,param_xgboost__colsample_bytree,param_xgboost__learning_rate,param_xgboost__max_depth,param_xgboost__min_child_weight,param_xgboost__min_split_loss,param_xgboost__objective,param_xgboost__reg_alpha,param_xgboost__reg_lambda,param_xgboost__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
6.782324373722076,0.109266096999236,0.45140570402145386,0.027194736498161592,5000,"(1, 1)",0.8,0.16253024946754588,5,3,0,reg:squarederror,10,6,0.6695148955243504,"{'preprocessor__text__tvec__max_features': 5000, 'preprocessor__text__tvec__ngram_range': (1, 1), 'xgboost__colsample_bytree': 0.8, 'xgboost__learning_rate': 0.16253024946754588, 'xgboost__max_depth': 5, 'xgboost__min_child_weight': 3, 'xgboost__min_split_loss': 0, 'xgboost__objective': 'reg:squarederror', 'xgboost__reg_alpha': 10, 'xgboost__reg_lambda': 6, 'xgboost__subsample': 0.6695148955243504}",0.34934123997171695,0.3599770023920448,0.5319949518772489,0.3710174580545754,0.4030826630738965,0.0748211101850882,1
10.390358865261078,0.05524901157334603,0.8935900330543518,0.045306523268056426,7500,"(1, 3)",1,0.3443301808598654,3,0,0.1,reg:squarederror,7,3,0.9492770942635396,"{'preprocessor__text__tvec__max_features': 7500, 'preprocessor__text__tvec__ngram_range': (1, 3), 'xgboost__colsample_bytree': 1, 'xgboost__learning_rate': 0.3443301808598654, 'xgboost__max_depth': 3, 'xgboost__min_child_weight': 0, 'xgboost__min_split_loss': 0.1, 'xgboost__objective': 'reg:squarederror', 'xgboost__reg_alpha': 7, 'xgboost__reg_lambda': 3, 'xgboost__subsample': 0.9492770942635396}",0.35088113158024925,0.31808358369041767,0.4762327662592245,0.3999861154604044,0.386295899247574,0.059546594844762143,6
7.727602064609528,0.06093771912417735,0.8460742831230164,0.009723862695187345,5000,"(1, 3)",0.9,0.375651133635156,2,4,0.05,reg:tweedie,1,1,0.8459475988463466,"{'preprocessor__text__tvec__max_features': 5000, 'preprocessor__text__tvec__ngram_range': (1, 3), 'xgboost__colsample_bytree': 0.9, 'xgboost__learning_rate': 0.375651133635156, 'xgboost__max_depth': 2, 'xgboost__min_child_weight': 4, 'xgboost__min_split_loss': 0.05, 'xgboost__objective': 'reg:tweedie', 'xgboost__reg_alpha': 1, 'xgboost__reg_lambda': 1, 'xgboost__subsample': 0.8459475988463466}",0.2794843323952202,0.32834893396096365,0.3970960477015516,0.2853467339608343,0.3225690120046425,0.0469826408032974,76
4.362923085689545,0.029600875454931563,0.4118082523345947,0.007968713976118856,2500,"(1, 1)",0.8,0.10463990157720009,3,4,0.1,reg:squarederror,0,0,0.7712701152774497,"{'preprocessor__text__tvec__max_features': 2500, 'preprocessor__text__tvec__ngram_range': (1, 1), 'xgboost__colsample_bytree': 0.8, 'xgboost__learning_rate': 0.10463990157720009, 'xgboost__max_depth': 3, 'xgboost__min_child_weight': 4, 'xgboost__min_split_loss': 0.1, 'xgboost__objective': 'reg:squarederror', 'xgboost__reg_alpha': 0, 'xgboost__reg_lambda': 0, 'xgboost__subsample': 0.7712701152774497}",0.32680046097154136,0.33112392064670837,0.4240023314402075,0.2968940366559093,0.3447051874285917,0.04764182307466201,54
9.823782444000244,0.11800126234119646,0.8963857293128967,0.058069630687358334,7500,"(1, 3)",0.9,0.16866903902951597,3,4,0.1,reg:tweedie,7,10,0.7171971827552144,"{'preprocessor__text__tvec__max_features': 7500, 'preprocessor__text__tvec__ngram_range': (1, 3), 'xgboost__colsample_bytree': 0.9, 'xgboost__learning_rate': 0.16866903902951597, 'xgboost__max_depth': 3, 'xgboost__min_child_weight': 4, 'xgboost__min_split_loss': 0.1, 'xgboost__objective': 'reg:tweedie', 'xgboost__reg_alpha': 7, 'xgboost__reg_lambda': 10, 'xgboost__subsample': 0.7171971827552144}",0.2759097097180363,0.3489217712190317,0.41973374671986285,0.3261569375691,0.3426805413065077,0.051738580495556144,57
7.092147529125214,0.07510604652269748,0.6662471890449524,0.04652239500423538,2500,"(1, 2)",0.8,0.25467142416932936,5,0,0,reg:tweedie,2,3,0.5121579832157269,"{'preprocessor__text__tvec__max_features': 2500, 'preprocessor__text__tvec__ngram_range': (1, 2), 'xgboost__colsample_bytree': 0.8, 'xgboost__learning_rate': 0.25467142416932936, 'xgboost__max_depth': 5, 'xgboost__min_child_weight': 0, 'xgboost__min_split_loss': 0, 'xgboost__objective': 'reg:tweedie', 'xgboost__reg_alpha': 2, 'xgboost__reg_lambda': 3, 'xgboost__subsample': 0.5121579832157269}",0.32815728319954707,0.3549375597946016,0.4747136671126527,0.289275087137393,0.3617708993110486,0.06926088596466884,29
3.8765746355056763,0.03606545505104914,0.41610467433929443,0.007870498360649477,2500,"(1, 1)",0.9,0.3810974185124598,2,2,0,reg:squarederror,7,0,0.776382483417745,"{'preprocessor__text__tvec__max_features': 2500, 'preprocessor__text__tvec__ngram_range': (1, 1), 'xgboost__colsample_bytree': 0.9, 'xgboost__learning_rate': 0.3810974185124598, 'xgboost__max_depth': 2, 'xgboost__min_child_weight': 2, 'xgboost__min_split_loss': 0, 'xgboost__objective': 'reg:squarederror', 'xgboost__reg_alpha': 7, 'xgboost__reg_lambda': 0, 'xgboost__subsample': 0.776382483417745}",0.3615567066468838,0.08311902658482972,0.33342318339715205,0.08110449693005661,0.21480085338973054,0.13306329028219316,99
7.959354877471924,0.06975481030819596,0.9522632956504822,0.0496328957060411,7500,"(1, 3)",0.8,0.11935384477166218,2,4,0.1,reg:squarederror,2,1,0.7784006312291751,"{'preprocessor__text__tvec__max_features': 7500, 'preprocessor__text__tvec__ngram_range': (1, 3), 'xgboost__colsample_bytree': 0.8, 'xgboost__learning_rate': 0.11935384477166218, 'xgboost__max_depth': 2, 'xgboost__min_child_weight': 4, 'xgboost__min_split_loss': 0.1, 'xgboost__objective': 'reg:squarederror', 'xgboost__reg_alpha': 2, 'xgboost__reg_lambda': 1, 'xgboost__subsample': 0.7784006312291751}",0.33263788314516085,0.3098418191733133,0.45584534741434823,0.33287817918220186,0.35780080722875607,0.05737400659856771,36
8.356583178043365,0.32951699872389517,0.6515063643455505,0.0016232791191177738,7500,"(1, 2)",0.9,0.3717141835997221,3,1,0.1,reg:tweedie,6,1,0.6270818245348694,"{'preprocessor__text__tvec__max_features': 7500, 'preprocessor__text__tvec__ngram_range': (1, 2), 'xgboost__colsample_bytree': 0.9, 'xgboost__learning_rate': 0.3717141835997221, 'xgboost__max_depth': 3, 'xgboost__min_child_weight': 1, 'xgboost__min_split_loss': 0.1, 'xgboost__objective': 'reg:tweedie', 'xgboost__reg_alpha': 6, 'xgboost__reg_lambda': 1, 'xgboost__subsample': 0.6270818245348694}",0.23265157189955932,0.08995452705592444,0.1216994223740897,0.28176053660002787,0.18151651448240033,0.07846231598218949,100
6.549185216426849,0.06073967313517532,0.6916682720184326,0.04760294335288372,5000,"(1, 2)",0.9,0.3050528028555093,2,0,0.1,reg:tweedie,6,9,0.9046805777392568,"{'preprocessor__text__tvec__max_features': 5000, 'preprocessor__text__tvec__ngram_range': (1, 2), 'xgboost__colsample_bytree': 0.9, 'xgboost__learning_rate': 0.3050528028555093, 'xgboost__max_depth': 2, 'xgboost__min_child_weight': 0, 'xgboost__min_split_loss': 0.1, 'xgboost__objective': 'reg:tweedie', 'xgboost__reg_alpha': 6, 'xgboost__reg_lambda': 9, 'xgboost__subsample': 0.9046805777392568}",0.2666787070958062,0.3175131454354949,0.4125665185325197,0.29774598711013556,0.3236260895434891,0.05445308086789899,74
10.33300369977951,0.07722181963520672,0.705187201499939,0.03512884420274103,7500,"(1, 2)",0.8,0.26490962459346923,5,1,0.1,reg:squarederror,3,3,0.8249819653888826,"{'preprocessor__text__tvec__max_features': 7500, 'preprocessor__text__tvec__ngram_range': (1, 2), 'xgboost__colsample_bytree': 0.8, 'xgboost__learning_rate': 0.26490962459346923, 'xgboost__max_depth': 5, 'xgboost__min_child_weight': 1, 'xgboost__min_split_loss': 0.1, 'xgboost__objective': 'reg:squarederror', 'xgboost__reg_alpha': 3, 'xgboost__reg_lambda': 3, 'xgboost__subsample': 0.8249819653888826}",0.323859986153028,0.3534195772285711,0.45779579136698156,0.3572350060713114,0.37307759020497305,0.05058895902999268,20
10.013448178768158,0.06606544181573348,0.6923165917396545,0.038970423783475865,5000,"(1, 2)",1,0.18800514964825446,5,1,0.05,reg:tweedie,6,5,0.664076333737366,"{'preprocessor__text__tvec__max_features': 5000, 'preprocessor__text__tvec__ngram_range': (1, 2), 'xgboost__colsample_bytree': 1, 'xgboost__learning_rate': 0.18800514964825446, 'xgboost__max_depth': 5, 'xgboost__min_child_weight': 1, 'xgboost__min_split_loss': 0.05, 'xgboost__objective': 'reg:tweedie', 'xgboost__reg_alpha': 6, 'xgboost__reg_lambda': 5, 'xgboost__subsample': 0.664076333737366}",0.30556106355873136,0.3584199853683161,0.4655476957331909,0.30343750786248624,0.3582415631306812,0.06575210536095374,34
