post_id,post_slug,unix_time,date_time,post_caption,hashtags,topic_tags,is_video,is_ad,post_likes,geo_tag,geo_slug,owner_id,owner_verified,owner_privacy,owner_unpublished,owner_total_posts,owner_total_followers
2376022763499489761,CD5VB1coQnh,1597464018,2020-08-15 04:00:18,"👀✨ A peek into our island paradise #WEscapes. Don't leave us out of your photos! Tag us @wsingapore for a chance to be featured.

Thank you for this 💯📷: @kkixon",['#WEscapes'],"['1 person', 'sky', 'cloud', 'tree', 'plant', 'outdoor', 'nature.']",False,False,162,W Singapore - Sentosa Cove,w-singapore-sentosa-cove,184337922,True,False,False,3063,30579
2381929006399103990,CEOT8-yniP2,1598168086,2020-08-23 07:34:46,"The world needs light in this dark times. And it is dark for many people.
.
.

""People usually consider walking on water or in thin air a miracle. But I think the real miracle is not to walk either on water or in thin air, but to walk on earth. Every day we are engaged in a miracle which we don't even recognize: a blue sky, white clouds, green leaves, the black, curious eyes of a child—our own two eyes. All is a miracle.""
- Thich Nhat Hanh, The Miracle of Mindfulness: An Introduction to the Practice of Meditation
.
.

MacRitchie Reservoir bath in golden afternoon lights of the ☀
.
.
#VisitSingapore #huaweip30pro
#ThisIsSingapore #whatissingapore #singaporediscovers #singapoliday
#exploresingapore #lovinsingapore #lifeinsingapore #Parks #Nparksbuzz #nparks #Singapore #reflection #SingaporeInsiders #wonderlustsingapore 
#TopSgShots #igsingapore #igerssingapore #ExploreSG 
#ExploreSingapore  #world_bestsky #best_skyshots  #best_skyshots #bestshooter_sky  #worldclasssky  #sky_brilliance #love_all_sky
#CityinNature #cityinagarden #sgbiodiversity","['#VisitSingapore', '#huaweip30pro', '#ThisIsSingapore', '#whatissingapore', '#singaporediscovers', '#singapoliday', '#exploresingapore', '#lovinsingapore', '#lifeinsingapore', '#Parks', '#Nparksbuzz', '#nparks', '#Singapore', '#reflection', '#SingaporeInsiders', '#wonderlustsingapore', '#TopSgShots', '#igsingapore', '#igerssingapore', '#ExploreSG', '#ExploreSingapore', '#world_bestsky', '#best_skyshots', '#best_skyshots', '#bestshooter_sky', '#worldclasssky', '#sky_brilliance', '#love_all_sky', '#CityinNature', '#cityinagarden', '#sgbiodiversity']","['sky', 'tree', 'cloud', 'outdoor', 'nature', 'water.']",False,False,28,MacRitchie Reservoir,macritchie-reservoir,196778200,False,False,False,5205,1234
2419039709991123186,CGSJ8yzlbjy,1602592026,2020-10-13 12:27:06,Relying on beach clubs to scratch the travel itch 🌞 #singapoliday,['#singapoliday'],"['1 person', 'sitting', 'tree', 'sky', 'shorts', 'outdoor', 'nature.']",False,False,365,Tanjong Beach Club,tanjong-beach-club,1801059,False,False,False,161,3103
2412579614742032053,CF7NGCRDC61,1601821923,2020-10-04 14:32:03,"The house is finally ready and the book shelves are filled again ;) 

#singapore #singapoliday #home #lego  #house #books #bookshelves","['#singapore', '#singapoliday', '#home', '#lego', '#house', '#books', '#bookshelves']",,False,False,42,,,3123759974,False,False,False,1762,525
2403017293129144356,CFZO38SFVgk,1600682006,2020-09-21 09:53:26,Not all those who wander are lost 🌚🌝 #singapoliday,['#singapoliday'],"['plant', 'sky', 'outdoor.']",False,False,82,Gardens by the Bay,gardens-by-the-bay,644314840,False,False,False,232,753
2390430182471919324,CEsg5X-nGbc,1599181505,2020-09-04 01:05:05,"(Giveaway ended)

Want a 3D2N staycation at the heart of Kampong Gelam?

Here's what you need to do:
1. FOLLOW us @letsgolive_sg
2. LIKE & SHARE this post on your IG story (don't forget to tag @letsgolive_sg!)
3. DESCRIBE Kampong Gelam in 8 words and tag your staycay buddies in the comments - the most creative answer wins.
4. INCREASE YOUR CHANCES!Tell us your favourite moment and why from this coming Saturday’s live stream.

We'll be watching! 😉

Giveaway ends on 8th September. The winner will be announced on our IG story so do keep a lookout!

Sponsored by our awesome friends at ANDAZ SINGAPORE (@andazsingapore)! ❤️

*Terms & Conditions apply.

#letsgolive_sg @visit_singapore #singapore #singaporetravel #singaporeinsiders #singaporelife #singaporean #singaporetrip #visitsingapore #singapoliday #travel #traveller #travelers #traveling #travels #traveltheworld #travelblogger #travelguide #travelholic #travelcommunity #traveladdicted #travel_captures #livestream #iglive #livestreamer #livestreaming #kampongglam #kamponggelam #onekamponggelam #staycation #giveaway","['#letsgolive_sg', '#singapore', '#singaporetravel', '#singaporeinsiders', '#singaporelife', '#singaporean', '#singaporetrip', '#visitsingapore', '#singapoliday', '#travel', '#traveller', '#travelers', '#traveling', '#travels', '#traveltheworld', '#travelblogger', '#travelguide', '#travelholic', '#travelcommunity', '#traveladdicted', '#travel_captures', '#livestream', '#iglive', '#livestreamer', '#livestreaming', '#kampongglam', '#kamponggelam', '#onekamponggelam', '#staycation', '#giveaway']",,False,False,134,Andaz Singapore,andaz-singapore,38344016187,False,False,False,66,1164
2339247229641782583,CB2rPYknXU3,1593080022,2020-06-25 10:13:42,"Today is supposed to be very festive. It is the Dragon Boat festival.

Unfortunately all dragon boat race are cancelled due to the pandemic.

#singaporephotographyworkshops #singaporephototours #phototour #learnphotography #dragonboatfestival  #race #dragonboat #photoworkshop #travelphotography #travelpics #singaporerediscovers #singaporediscovers #singapoliday #kallangleisurepark #teamspirit #singaporephotography #sgpics #bbctravel #singapore #lightroom #adobe #discoversingapore #exploresingapore #tripadvisorexperiences #airbnbexperiences #natgeoasia","['#singaporephotographyworkshops', '#singaporephototours', '#phototour', '#learnphotography', '#dragonboatfestival', '#race', '#dragonboat', '#photoworkshop', '#travelphotography', '#travelpics', '#singaporerediscovers', '#singaporediscovers', '#singapoliday', '#kallangleisurepark', '#teamspirit', '#singaporephotography', '#sgpics', '#bbctravel', '#singapore', '#lightroom', '#adobe', '#discoversingapore', '#exploresingapore', '#tripadvisorexperiences', '#airbnbexperiences', '#natgeoasia']","['sky', 'tree', 'skyscraper', 'outdoor', 'water', 'nature.']",False,False,23,Kallang Riverside,kallang-riverside,10242033541,False,False,False,1054,331
2364698631040332514,CDRGOBQAvLi,1596114065,2020-07-30 13:01:05,"With global travel and quick getaways at a standstill, the best part about owning a Brompton is to channel the spirit of adventure and discovery in Singapore! #singapoliday #singaporediscovers #bromptonbicycle #brompton #cycling #mybrompton","['#singapoliday', '#singaporediscovers', '#bromptonbicycle', '#brompton', '#cycling', '#mybrompton']","['people riding bicycles', 'bicycle', 'outdoor.']",False,False,21,,,12127030634,False,False,False,31,30
2417637692139827622,CGNLKv7lvGm,1602424893,2020-10-11 14:01:33,✨𝕙𝕦𝕤𝕥𝕝𝕖 𝕓𝕦𝕤𝕥𝕝𝕖✨,[],,False,False,218,Singapore,singapore,2587099,False,False,False,1632,1791
2414417866406730615,CGBvEHih5t3,1602041060,2020-10-07 03:24:20,"Weekend photography workshop at Punggol Beach. This is one of the best places in Singapore for sunset photography.

#singaporephotographyworkshops
#singaporephototours 
#basicphotographyworkshop
#singaporephotographyworkshop
#sunsetphotography 
#carolinepangphotography 
#carolinepang 
#sunsetphotography 
#lensflare
#creativephotography
#visualstorytelling 
#exploresingapore
#discoversingapore
#singaporediscovers 
#singapoliday 
#singapore
#punggolbeach 
#learningphotography 
#singaporephotography 
#picoftheday
#gettyimagescontributor
#gettyimages
#tripadvisor
#travelphotography","['#singaporephotographyworkshops', '#singaporephototours', '#basicphotographyworkshop', '#singaporephotographyworkshop', '#sunsetphotography', '#carolinepangphotography', '#carolinepang', '#sunsetphotography', '#lensflare', '#creativephotography', '#visualstorytelling', '#exploresingapore', '#discoversingapore', '#singaporediscovers', '#singapoliday', '#singapore', '#punggolbeach', '#learningphotography', '#singaporephotography', '#picoftheday', '#gettyimagescontributor', '#gettyimages', '#tripadvisor', '#travelphotography']","['sky', 'tree', 'outdoor', 'nature.']",False,False,17,Punggol Jetty,punggol-jetty,8766381662,False,False,False,656,209
